name,TMP ,TEP ,TIBP ,TNBP ,TEHP ,TBOEP ,BHEHP ,TCEP ,TCIPP ,T3CPP,TDCP ,TPHP ,EHDPP ,TPPO ,CDPP,T2MPP,T3MPP,T4MPP,T2IPP,IDPP,TTBNPP,BADP ,RDP 
BS03_9,0.004727273,0.690828283,0.167555556,0.244262626,0.298868687,0.141272727,0.045979798,4.222888889,5.096888889,3.197818182,0.026141414,0.080525253,0.026242424,0.063373737,,,,0.017474747,,0.016262626,,0.008020202,0.003151515
BS03_10,0.007794433,0.698244111,0.157066381,0.249850107,0.280899358,0.104689507,0.037366167,5.275460385,4.526830835,2.841391863,0.032162741,0.065717345,0.051284797,0.041777302,0.034860814,,,0.014239829,,0.011777302,,0.007922912,0.006466809
BS03_11,0.005955056,0.604651685,0.162449438,0.271730337,0.334808989,0.139213483,0.020292135,4.568426966,5.592247191,3.501438202,0.033775281,0.071078652,0.028719101,0.046337079,,,0.012898876,0.019370787,,0.019505618,,0.01611236,0.003550562
BS03_12,0.006762887,1.122309278,0.185298969,0.271835052,0.428824742,0.083072165,,5.209360825,4.392618557,2.73,0.032082474,0.093525773,0.063113402,0.057690722,0.038041237,,0.012185567,0.020226804,,0.038453608,,0.00857732,0.009402062
BS03_13,0.005963542,0.591927083,0.171770833,0.481380208,0.352630208,0.074296875,0.025234375,4.76234375,6.440442708,4.021796875,0.039427083,0.08625,0.029192708,0.053567708,,,,0.013645833,,0.023567708,,0.006848958,0.005494792
BS03_14,0.014117647,1.225710784,0.203627451,0.808627451,0.434387255,0.163333333,0.024607843,4.796519608,3.121348039,1.95747549,0.024901961,0.093333333,0.101348039,0.082009804,0.07372549,,0.014166667,0.023578431,,0.062352941,0.166887255,0.012794118,0.013651961
BS03_15,0.016517857,1.246309524,0.232559524,0.515922619,0.519017857,0.100357143,,5.247202381,4.144494048,2.578095238,0.036696429,0.087767857,0.09202381,0.070505952,0.090357143,,,,0.007113095,0.022410714,,0.028690476,0.021964286
BS03_16,0.0072,0.63034,0.17612,0.4003,0.41314,0.06398,,3.88028,5.31228,3.33038,0.03084,0.10552,0.02672,0.03818,0.03268,,0.01552,0.02362,0.00216,0.03278,,0.00514,
BS03_17,0.006170732,1.105902439,0.171878049,0.633073171,0.519682927,0.359390244,,4.773268293,3.893146341,2.464317073,0.02697561,0.084121951,0.056243902,0.080756098,0.033926829,,0.01397561,0.020560976,0.002560976,0.073707317,,0.01195122,0.010707317
BS03_18,0.00338,0.41298,0.10816,0.28058,0.37586,0.14852,,2.31934,2.66158,1.6606,,0.05042,0.00598,0.0394,,,,0.01308,,0.07462,,0.01428,
BS03_19,0.00578534,0.783350785,0.136387435,0.763769634,0.503769634,0.14934555,,3.753403141,3.691151832,2.292486911,,0.100078534,0.052827225,0.059973822,0.06039267,,0.013376963,0.021413613,0.003481675,0.102591623,,0.01026178,0.010759162
BS03_20,0.01263587,1.106141304,0.276630435,1.451195652,0.52923913,0.194809783,,5.353967391,4.017065217,2.518695652,0.033233696,0.115461957,0.119184783,0.093668478,0.101277174,,0.019456522,0.02701087,0.003125,0.020054348,,0.015190217,0.018940217
BS04,0.005448578,0.725273523,0.141859956,0.589365427,0.166214442,0.247746171,0.047636761,3.492231947,2.152866521,1.346126915,,0.058030635,0.081378556,0.070131291,0.062472648,,,0.014113786,,0.034070022,,0.007002188,0.013982495
BS05,0.015967078,1.203353909,0.164074074,0.266604938,0.088024691,0.840246914,,6.053539095,4.534444444,2.81936214,0.025,0.141502058,0.054917695,0.057160494,0.032407407,,0.014773663,0.020925926,,0.044526749,0.129074074,0.003744856,0.008168724
BS01,0.0049,0.57182,0.11396,0.25488,0.0729,0.23678,,5.183,4.95196,3.09332,0.02892,0.05506,0.01564,0.03984,0.07706,,0.25922,0.38982,0.00248,0.00858,,0.00338,
BS02,0.00704,0.47248,0.08664,0.04558,0.12556,0.07194,,4.37374,5.74384,3.59426,0.0424,0.10184,0.04252,0.02424,0.04444,,0.06112,0.0859,0.00244,0.03452,,0.0038,
BS08,0.00464,0.11316,0.0469,0.02512,0.0922,,,1.49218,2.4792,1.5438,0.02364,0.10922,0.04772,0.02334,0.02364,,0.04274,0.0662,,0.00344,,0.00304,
BS09,0.010477707,0.476433121,0.077738854,0.210095541,0.269203822,,,0.848949045,1.268248408,0.790382166,0.044235669,0.107515924,0.157993631,0.050764331,0.085732484,,0.097197452,0.14656051,0.00955414,0.047292994,,0.036528662,0.02888535
BS11,0.009160305,1.163994911,0.386005089,0.465114504,0.170305344,0.177251908,,4.59740458,4.098931298,2.556234097,,0.065267176,0.064834606,0.053155216,0.047964377,,0.021221374,0.029262087,,0.045419847,,0.007760814,0.012875318
BS12,0.018254848,0.818698061,0.087811634,0.2866759,0.09833795,0.82565097,,1.268531856,1.213601108,0.764210526,,0.089529086,0.105235457,0.060886427,0.068060942,,0.099058172,0.145096953,0.003213296,0.010775623,,0.011717452,0.017202216
BS13,0.004955157,0.849394619,0.108721973,0.520605381,0.045807175,0.268834081,,4.648273543,3.346076233,2.087802691,,0.0332287,0.039820628,0.099170404,0.027982063,,,0.014506726,,0.020403587,,0.003834081,0.006143498
BS14,0.00272,0.83902,0.12712,0.05068,0.0284,0.26674,,6.34398,6.01066,3.74618,0.02604,0.07854,0.02362,0.03342,,,0.0222,0.0344,,0.01902,,0.0023,
BS16,0.006329114,0.529767932,0.141392405,0.235527426,0.087362869,0.436118143,,5.136392405,4.414367089,2.738628692,0.02814346,0.064662447,0.074725738,0.042109705,0.070168776,,0.090063291,0.133080169,,0.057025316,,0.015063291,0.015253165
BS17,0.010872483,0.869463087,0.161834452,0.319821029,0.066733781,0.882170022,,6.050268456,4.429642058,2.7649217,0.028008949,0.048724832,0.051991051,0.093646532,0.044272931,,0.316689038,0.217494407,0.024205817,0.033847875,,0.005659955,0.00901566
